no_kk,nik,nama,usia,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
2222222222222221,1234567890123011,Hendro Siswanto,40,Laki-laki,"Blitar, 15 Jan 1985",Pedagang,Islam,SMA,Kawin,Kepala Keluarga,Jl. Pahlawan No. 10,02,01
2222222222222221,1234567890123012,Nita Nurhaliza,38,Perempuan,"Blitar, 20 Feb 1987",Ibu Rumah Tangga,Islam,SMA,Kawin,Istri,Jl. Pahlawan No. 10,02,01
2222222222222221,1234567890123013,Bagas Pratama,15,Laki-laki,"Blitar, 25 Mar 2010",Pelajar,Islam,SMP,Belum Kawin,Anak,Jl. Pahlawan No. 10,02,01
2222222222222222,1234567890123014,Supriyadi,55,Laki-laki,"Blitar, 05 Apr 1970",Buruh Harian,Islam,SD,Kawin,Kepala Keluarga,Jl. Diponegoro No. 12,02,01
2222222222222222,1234567890123015,Sumarti,50,Perempuan,"Blitar, 10 Mei 1975",Buruh Cuci,Islam,SD,Kawin,Istri,Jl. Diponegoro No. 12,02,01
2222222222222223,1234567890123016,Rahmat Hidayat,30,Laki-laki,"Blitar, 15 Jun 1995",Programmer,Islam,S1,Belum Kawin,Kepala Keluarga,Jl. Sudirman No. 3,02,01
2222222222222224,1234567890123017,Ahmad Fauzi,45,Laki-laki,"Blitar, 20 Jul 1980",Dokter,Islam,S2,Kawin,Kepala Keluarga,Jl. Thamrin No. 7,02,01
2222222222222224,1234567890123018,Fitria Handayani,42,Perempuan,"Blitar, 25 Agu 1983",Bidan,Islam,D3,Kawin,Istri,Jl. Thamrin No. 7,02,01
2222222222222225,1234567890123019,Yanto Budi,65,Laki-laki,"Blitar, 30 Sep 1960",Petani,Islam,SD,Kawin,Kepala Keluarga,Jl. Gatot Subroto No. 9,02,01
2222222222222225,1234567890123020,Marniati,60,Perempuan,"Blitar, 05 Okt 1965",Mengurus Rumah Tangga,Islam,SD,Kawin,Istri,Jl. Gatot Subroto No. 9,02,01
