no_kk,nik,nama,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3505050000000001,3505000500000001,"Warga RT 05 No 1",Laki-laki,"Blitar, 10 Jan 2001",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000002,3505000500000002,"Warga RT 05 No 2",Perempuan,"Blitar, 21 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000003,3505000500000003,"Warga RT 05 No 3",Laki-laki,"Blitar, 21 Jan 2002",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000004,3505000500000004,"Warga RT 05 No 4",Perempuan,"Blitar, 5 Jan 1971",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000005,3505000500000005,"Warga RT 05 No 5",Laki-laki,"Blitar, 26 Jan 1992",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000006,3505000500000006,"Warga RT 05 No 6",Perempuan,"Blitar, 20 Jan 1951",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000007,3505000500000007,"Warga RT 05 No 7",Laki-laki,"Blitar, 14 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000008,3505000500000008,"Warga RT 05 No 8",Perempuan,"Blitar, 1 Jan 1980",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000009,3505000500000009,"Warga RT 05 No 9",Laki-laki,"Blitar, 2 Jan 1952",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000010,3505000500000010,"Warga RT 05 No 10",Perempuan,"Blitar, 25 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000011,3505000500000011,"Warga RT 05 No 11",Laki-laki,"Blitar, 23 Jan 1950",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000012,3505000500000012,"Warga RT 05 No 12",Perempuan,"Blitar, 14 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000013,3505000500000013,"Warga RT 05 No 13",Laki-laki,"Blitar, 23 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000014,3505000500000014,"Warga RT 05 No 14",Perempuan,"Blitar, 23 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000015,3505000500000015,"Warga RT 05 No 15",Laki-laki,"Blitar, 15 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000016,3505000500000016,"Warga RT 05 No 16",Perempuan,"Blitar, 17 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000017,3505000500000017,"Warga RT 05 No 17",Laki-laki,"Blitar, 9 Jan 1980",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000018,3505000500000018,"Warga RT 05 No 18",Perempuan,"Blitar, 19 Jan 1998",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000019,3505000500000019,"Warga RT 05 No 19",Laki-laki,"Blitar, 19 Jan 1960",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000020,3505000500000020,"Warga RT 05 No 20",Perempuan,"Blitar, 7 Jan 1988",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
3505050000000021,3505000500000021,"Warga RT 05 No 21",Laki-laki,"Blitar, 3 Jan 2006",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 05",05,01
