no_kk,nik,nama,jenis_kelamin,tempat_tanggal_lahir,pekerjaan,agama,pendidikan,status,shdk,alamat,rt,rw
3505010000000001,3505000100000001,"Warga RT 01 No 1",Laki-laki,"Blitar, 18 Jan 1996",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000002,3505000100000002,"Warga RT 01 No 2",Perempuan,"Blitar, 1 Jan 1986",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000003,3505000100000003,"Warga RT 01 No 3",Laki-laki,"Blitar, 24 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000004,3505000100000004,"Warga RT 01 No 4",Perempuan,"Blitar, 23 Jan 2000",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000005,3505000100000005,"Warga RT 01 No 5",Laki-laki,"Blitar, 17 Jan 2003",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000006,3505000100000006,"Warga RT 01 No 6",Perempuan,"Blitar, 11 Jan 1974",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000007,3505000100000007,"Warga RT 01 No 7",Laki-laki,"Blitar, 17 Jan 1988",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000008,3505000100000008,"Warga RT 01 No 8",Perempuan,"Blitar, 16 Jan 1960",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000009,3505000100000009,"Warga RT 01 No 9",Laki-laki,"Blitar, 21 Jan 1953",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000010,3505000100000010,"Warga RT 01 No 10",Perempuan,"Blitar, 24 Jan 1983",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000011,3505000100000011,"Warga RT 01 No 11",Laki-laki,"Blitar, 10 Jan 1999",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000012,3505000100000012,"Warga RT 01 No 12",Perempuan,"Blitar, 25 Jan 1979",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000013,3505000100000013,"Warga RT 01 No 13",Laki-laki,"Blitar, 24 Jan 1966",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000014,3505000100000014,"Warga RT 01 No 14",Perempuan,"Blitar, 13 Jan 1963",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000015,3505000100000015,"Warga RT 01 No 15",Laki-laki,"Blitar, 3 Jan 1967",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000016,3505000100000016,"Warga RT 01 No 16",Perempuan,"Blitar, 22 Jan 1961",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000017,3505000100000017,"Warga RT 01 No 17",Laki-laki,"Blitar, 11 Jan 1985",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000018,3505000100000018,"Warga RT 01 No 18",Perempuan,"Blitar, 18 Jan 1991",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000019,3505000100000019,"Warga RT 01 No 19",Laki-laki,"Blitar, 20 Jan 2009",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000020,3505000100000020,"Warga RT 01 No 20",Perempuan,"Blitar, 4 Jan 1968",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000021,3505000100000021,"Warga RT 01 No 21",Laki-laki,"Blitar, 15 Jan 1993",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000022,3505000100000022,"Warga RT 01 No 22",Perempuan,"Blitar, 15 Jan 1972",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000023,3505000100000023,"Warga RT 01 No 23",Laki-laki,"Blitar, 17 Jan 2008",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000024,3505000100000024,"Warga RT 01 No 24",Perempuan,"Blitar, 23 Jan 1984",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000025,3505000100000025,"Warga RT 01 No 25",Laki-laki,"Blitar, 11 Jan 1978",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000026,3505000100000026,"Warga RT 01 No 26",Perempuan,"Blitar, 23 Jan 1976",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000027,3505000100000027,"Warga RT 01 No 27",Laki-laki,"Blitar, 8 Jan 1957",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000028,3505000100000028,"Warga RT 01 No 28",Perempuan,"Blitar, 12 Jan 1955",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000029,3505000100000029,"Warga RT 01 No 29",Laki-laki,"Blitar, 12 Jan 2004",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000030,3505000100000030,"Warga RT 01 No 30",Perempuan,"Blitar, 15 Jan 1954",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000031,3505000100000031,"Warga RT 01 No 31",Laki-laki,"Blitar, 23 Jan 1977",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000032,3505000100000032,"Warga RT 01 No 32",Perempuan,"Blitar, 9 Jan 2010",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
3505010000000033,3505000100000033,"Warga RT 01 No 33",Laki-laki,"Blitar, 4 Jan 1959",Petani,Islam,SMA,Kawin,"Kepala Keluarga","Jl. Desa Binangun RT 01",01,01
